id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
179,Bandung,Tidak,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
180,Belitung,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Upskill, Networking",LinkedIn,Bangka  Belitung,0
181,Cirebon,Ya,-,"Power BI, Looker Studio, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
182,Surabaya,Ya,Mahasiswa semester 5 Sistem Infromasi,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Timur,1
183,Riau,Ya,Agronomist Intern di PT Digital SawitPRO,"SQL, Power BI, Looker Studio","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Riau,1
184,Bekasi,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Cari Kerja,Instagram,Jawa Barat,1
185,Bandung,Ya,Magang Data Analyst,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Bahasa pemrograman R","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
186,Bekasi,Ya,Sosial media analyst intern,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
187,Jakarta,Tidak,Revenue Assurance,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, PostgreSQL","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
188,Balikpapan,Tidak,Karyawan swasta,"Excel, SQL, Python, Databases","Upskill, Networking, Switch Career",Instagram,Kalimantan Timur,0
189,Depok,Tidak,Pekerja Sosial,"Excel, Databases, Tableau","Upskill, Switch Career",LinkedIn,Jawa Barat,0
190,Sidoarjo,Ya,-,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
191,Tangerang,Ya,Staff Warehouse,"Excel, SQL, Python, Power BI",Switch Career,LinkedIn,Banten,0
192,Yogyakarta,Ya,Cari kerja,Excel,"Cari Kerja, Upskill, Switch Career",Instagram,DI Yogyakarta,1
193,Jakarta,Tidak,IT & Digital Marketing Specialist,"Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Switch Career",LinkedIn,Jakarta,1
194,Sumatera Utara ,Ya,"QA, PT ","Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, ","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Utara,1
195,"Sidoarjo, Jawa Timur",Ya,Mahasiswa - Universitas Trunojoyo Madura,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Networking",LinkedIn,Jawa Timur,1
196,Yogyakarta,Ya,DA - Datains,"Excel, SQL, Python, Power BI, Databases",Upskill,LinkedIn,DI Yogyakarta,0
197,Magelang ,Ya,-,"Excel, Databases","Upskill, Networking",Teman,Jawa Tengah,0
198,Kendal,Ya,Freshgraduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
199,Bogor,Tidak,Road Traffic Control,"Python, Power BI, Looker Studio","Upskill, Networking",LinkedIn,Jawa Barat,0
200,Jakarta,Tidak,Data Processor - Pertamina (Persero),"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
201,Pekanbaru,Ya,Universitas Muhammadiyah Riau ,"Excel, SQL, Python, Power BI, Databases, Tableau",Upskill,Instagram,Riau,0
202,Jakarta,Tidak,Karyawan,"Excel, SQL, Python, Looker Studio","Cari Kerja, Networking, Switch Career",LinkedIn,Jakarta,1
203,Malang,Ya,Politeknik Negeri Malang,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, big data",Cari Kerja,Instagram,Jawa Timur,1
204,Mojokerto,Ya,Mahasiswa ,"Excel, SQL, Python","Cari Kerja, Upskill",LinkedIn,Jawa Timur,1
205,Kab. Tangerang,Ya,PT Torabika Eka Semesta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
206,Denpasar,Tidak,Karyawan Swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Bali,1
207,Tulungagung,Ya,Staff Akademik,"Power BI, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Tengah,1
208,Kota Depok,Tidak,Tidak Bekerja,"Python, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
209,Yogyakarta,Ya,PIC Warehouse,"SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,DI Yogyakarta,1
210,Depok Jawa Barat,Tidak,Guru di salah satu SMK,"Excel, SQL, Power BI","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
211,Cirebon,Ya, ,"SQL, Python, Databases","Cari Kerja, Switch Career",LinkedIn,Jawa Barat,1
212,Karawang ,Ya,Mahasiswa ,"SQL, Python","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
213,Bandung,Ya,Mahasiswa/Pelajar,"SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
214,Jakarta,Tidak,Klinik,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Di awal ingin Excel terlebih dahulu ","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jakarta,1
215,Surakarta,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
216,Depok,Ya,Senior Operational Risk Intern - PT Bank Mandiri (Persero),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
217,Depok,Ya,Senior operational Risk intern - PT Bank Mandiri (Persero),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
218,Bandung ,Ya,"Majasiswa, UNSIKA",Excel,Upskill,LinkedIn,Jawa Barat,0
219,Tangerang,Ya,Fullstack web developer,"Python, Power BI, Tableau",Upskill,Instagram,Banten,0
220,Bekasi,Tidak,Data Scienstist,semua,"Upskill, Networking",LinkedIn,Jawa Barat,0
221,Bekasi,Tidak,DS & Swasta,"Python, Power BI, Databases","Cari Kerja, Networking",LinkedIn,Jawa Barat,1
222,Karawang,Ya,PT Pupuk Kujang,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Upskill, Networking",Teman,Jawa Barat,0
223,Jakarta Selatan,Tidak,Data Scientist Assc. at Pt. Metrodata,"Python, Pipilene automation","Upskill, Networking",Teman,Jakarta,0
224,"Tuban, east java",Tidak,Karyawan swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
225,Surabaya ,Ya,Mahasiswa ,"Excel, SQL, Power BI, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Timur,1
226,Gresik,Tidak,Data analyst & FMCG,Excel,Upskill,LinkedIn,Jawa Timur,0
227,Jatinangor,Ya,Mahasiswa & Universitas Padjadjaran,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jawa Barat,0
228,Jakarta,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Jakarta,1
229,Bandung,Tidak,Fullstack Developer,"Excel, Python, Power BI, Looker Studio, Tableau","Upskill, Networking, Switch Career",Instagram,Jawa Barat,0
230,Bandung,Ya,Pelajar,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
231,Jakarta,Tidak,Lion Air Group,"SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jakarta,1
232,Sulawesi Tengah,Ya,Auditor internal  & Finance ,"Excel, SQL, Power BI, Databases, Tableau, R Studio","Upskill, Networking",LinkedIn,Sulawesi Tengah,0
233,Bandung,Tidak,Masih cari kerja,"Excel, SQL, Python, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Barat,1
234,Bandung,Tidak,masih cari kerja,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
235,Bogor,Ya,STT Terpadu Nurul Fikri,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
236,Tasikmalaya ,Ya,Belum Bekerja,"SQL, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
237,Bogor,Ya,Mahasiswi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
238,Bandung,Ya,Freelancer,"Python, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
239,Surabaya ,Tidak,CSON SME,"Python, Power BI, Looker Studio, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
240,Surabaya ,Tidak,SME CSON,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
241,Tangerang,Ya,Belum bekerja,"Excel, SQL, Python","Upskill, Networking",LinkedIn,Banten,0
242,Semarang,Ya,Mahasiswa,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
243,Bekasi,Ya,freshgraduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
244,Semarang,Ya,belum bekerja ,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
245,Gresik,Tidak,SIG,"SQL, Power BI, Looker Studio, Databases","Upskill, Networking",LinkedIn,Jawa Timur,0
246,Bekasi,Ya,Crew Store,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
247,Yogyakarta,Ya,Tim Media Kreatif & Swasta,"Excel, Python, Looker Studio","Cari Kerja, Upskill",LinkedIn,DI Yogyakarta,1
248,"Medan, Sumatera Utara",Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Utara,1
249,Medan,Ya,Masih job seeker,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Utara,1
250,Semarang,Ya,Mahasiswa - Universitas Diponegoro,"SQL, Python, Power BI, Tableau",Upskill,LinkedIn,Jawa Tengah,0
251,Jakarta,Ya,universitas gunadarma,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jakarta,1
252,Padang,Ya,Universitas Negeri Padang,"Excel, Python, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,0
253,Jawa Timur,Tidak,Data analyst,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jawa Timur,0
254,Surakarta,Tidak,SPX Express,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",Switch Career,LinkedIn,Jawa Tengah,0
255,Bogor,Ya,Fresh graduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
256,Bogor,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Tableau, Google Colab","Cari Kerja, Upskill, Networking",Instagram,Jawa Barat,1
257,Surabaya,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Timur,1
258,Sukabumi,Tidak,Jobseeker,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jawa Barat,0
259,bekasi,Tidak,surveillance & finance,"SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Barat,1
260,Kota Bekasi,Ya,Unemployed ,"Excel, SQL, Python, Power BI, Databases, Tableau, ETL, Big Data, Business Inteligent, Meching Learning ","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
261,Cirebon,Tidak,Document control,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
262,Bekasi,Ya,Data analyst/nadeem,"Python, Power BI, Looker Studio, Databases","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
263,Bogor,Tidak,SPX,"Excel, SQL, Python, Looker Studio","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
264,Bandung Barat,Ya,"Koor media dan Data, LAZ Rumah Peduli Umat","Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Switch Career,LinkedIn,Jawa Barat,0
265,Jakarta,Tidak,Thinkmatch,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
266,Yogyakarta ,Ya,Universitas Islam Indonesia ,"Excel, SQL, Python, Power BI, Tableau","Upskill, Networking",LinkedIn,DI Yogyakarta,0
267,BEKASI,Tidak,WAREHOUSE STAFF,"Excel, SQL, Python, Power BI","Upskill, Networking, Switch Career",Instagram,Jawa Barat,0
268,Tangerang,Ya,Guru di sekolah swasta,"Excel, ","Upskill, Networking",Teman,Banten,0
269,Padang Panjang ,Ya,Belum Bekerja (Job Seeker),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Barat,1
270,Pontianak,Tidak,Pengajar - PT. Ruang Raya Indonesia,GIS,"Upskill, Networking",LinkedIn,Kalimantan Barat,0
271,Yogyakarta,Tidak,Mahasisa/Pelajar,"Excel, Python","Upskill, Networking",LinkedIn,DI Yogyakarta,0
272,Padang,Ya,-,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Barat,1
273,Tangerang,Tidak,risk manager (break career),"Power BI, Databases, Tableau",Switch Career,LinkedIn,Banten,0
274,Kendari ,Ya,Konsultan Tambang ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sulawesi Tenggara,1
275,Makassar,Tidak,Programmer,"Excel, SQL, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Switch Career",LinkedIn,Sulawesi Selatan,1
276,Jakarta Timur,Ya,Data Analyst - Internship & Ditjen Minerba,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Streamlit","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
277,Kisaran Sumatera Utara,Tidak,Dosen,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Utara,1
278,Tangerang Selatan,Tidak,QA Automation Engineer & instansi di NTT DATA,"Excel, SQL, Python, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
279,Purwokerto ,Ya,"Mahasiswa, Universitas Muhammadiyah Purwokerto ",Excel,Upskill,Teman,Jawa Tengah,0
280,Tasikmalaya,Tidak,RnD namikita,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,0
281,Tangerang,Tidak,Mobile Banking ,"Power BI, Looker Studio","Cari Kerja, Switch Career",Instagram,Banten,1
282,Sumedang,Ya,Mahasiswa,"SQL, Python, Power BI, Looker Studio, Tableau",Upskill,LinkedIn,Jawa Barat,0
283,Bekasi,Tidak,asisten teacher di kumon,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,0
284,Karawang,Ya,Mahasiswa (Universitas Singaperbangsa Karawang),"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
285,Pekanbaru,Ya,Belum Bekerja,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Riau,1
286,"Bandung, Jawa Barat",Ya,Magang Asisten Analis Data,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
287,Kalimantan Timur,Tidak,PT. Bina Sarana Sukses,"Excel, Python, Power BI, Databases, Tableau",Upskill,LinkedIn,Kalimantan Timur,0
288,Bekasi,Tidak,ATCS kementerian perhubungan ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Barat,1
289,Depok,Tidak,Masih mencari ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
290,Depok,Tidak,Masih mencari,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Cloud Computing ","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
291,"Banyuwangi, Jawa Timur",Ya,Universitas Airlangga,"SQL, Python, Power BI, Databases","Cari Kerja, Networking",Teman,Jawa Timur,1
292,Yogyakarta,Ya,Belum bekerja masih up skills,"Excel, SQL, Python, Power BI, Looker Studio","Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1
293,Madiun,Tidak,Admin Sales / PT.Central Proteina Prima,"Excel, SQL, Python, Power BI, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
294,Sidoarjo,Tidak,PT. Central Proteina Prima,"Power BI, Looker Studio, Databases, Tableau","Upskill, Switch Career",LinkedIn,Jawa Timur,0
295,Depok,Tidak,Telekomunikasi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,0
296,Jakarta,Ya,-,"Python, Databases",Upskill,LinkedIn,Jakarta,0
297,Bandung Barat,Ya,Universitas Padjadjaran,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
298,Depok,Tidak,Quality Assurance ,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
299,Surabaya,Tidak,-,"SQL, Python, Power BI, Looker Studio, Tableau",Upskill,LinkedIn,Jawa Timur,0
300,Tangerang Selatan,Ya,CRD Intern,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
301,Tangerang Selatan,Tidak,CRD Intern - APP GROUP,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
302,Bekasi,Ya,Magang - Prudential,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
303,Kota Depok,Tidak,Product Analyst - Deliveree,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Switch Career",LinkedIn,Jawa Barat,0
304,Tangerang,Tidak,Karyawan Swasta,"Excel, SQL, Python, Power BI, Tableau","Upskill, Networking",LinkedIn,Banten,0
305,Harapan Indah,Tidak,Pancaran ,"Excel, Python, Power BI",Upskill,Teman,Jawa Barat,0
306,Surabaya,Tidak,Universitas Pembangunan Nasional Veteran Jawa Timur ,"SQL, Tableau, AI automation, RAG, LLM ","Cari Kerja, Networking",LinkedIn,Jawa Timur,1
307,Surabaya,Ya,Universitas Airlangga ,"Excel, SQL, Python, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
308,Sukoharjo ,Tidak,Smelter,"Python, Databases",Upskill,LinkedIn,Jawa Tengah,0
309,Jakarta,Tidak,Ibu rumah tangga,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
310,Medan,Tidak,Data Developer,"Power BI, Tableau","Cari Kerja, Networking",Instagram,Sumatera Utara,1
311,Jakarta Timur,Tidak,Analayst at HUDHUD (Part of FCN Networks),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
312,Mataram,Tidak,Freelance,"SQL, Python, Databases, Tableau","Cari Kerja, Networking",LinkedIn,Nusa Tenggara Barat,1
313,Bekasi,Ya,Driver ojol dan Mandor Peternakan Ikan,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
314,Bekasi,Ya,Driver ojol,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
315,Bekasi,Ya,Mandor peternakan ikan,"Excel, SQL, Python, Power BI, Looker Studio, Databases, ","Cari Kerja, Upskill, Switch Career",Teman,Jawa Barat,1
316,Palembang,Tidak,Finance & Accountant,Excel,"Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Selatan,1
317,Tangerang,Ya,Data Management,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",Instagram,Banten,0
318,Bandung,Tidak,QA Engineer,"SQL, Python, Power BI, Looker Studio, Databases, Tableau",Switch Career,LinkedIn,Jawa Barat,0
319,Jakarta Selatan,Ya,Mahasiswa UIN Syarif Hidayatullah Jakarta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, HTML, CSS, C, JAVASCRIPT","Upskill, Networking",Teman,Jakarta,0
320,Palu,Tidak,Supervisor Logistik BORWITA ,Power BI,Upskill,LinkedIn,Sulawesi Tengah,0
321,Kuningan,Ya,belum bekerja,"Excel, SQL, Python, Looker Studio, Tableau","Cari Kerja, Networking",LinkedIn,Jawa Barat,1
322,Sumatera Selatan,Tidak,OFN,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Sumatera Selatan,0
323,Depok,Ya,Freelance,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Networking, Switch Career",LinkedIn,Jawa Barat,1
324,Bandung,Ya,Mahasiswa di Universitas Padjadjaran ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
325,Surabaya,Ya,Mahasiswa Universitas Airlangga,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
326,Jakarta,Tidak,Swasta,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jakarta,1
327,"Rokan Hilir, riau",Tidak,Karyawan Swasta di PT Salim Ivomas Pratama Tbk,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Riau,1
328,Kendari,Tidak,Freelancer,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Instagram,Sulawesi Tenggara,1
329,Surabaya,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
330,Bogor,Ya,Intern Project Management Officer,"Excel, SQL, Power BI","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
331,Tangerang,Ya,Intern HR Data Analyst,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
332,Kalsel,Tidak,Swasta,"Excel, Power BI, Looker Studio, Databases","Upskill, Networking",LinkedIn,Kalimantan Selatan,0
333,Lampung,Ya,Mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Lampung,1
334,kota padang,Ya,Magang Kemnaker Batch 3-Programming IT/Teknik di Balai Monitor Spektrum Frekuensi Radio Kelas II Padand,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,0
335,Jakarta,Tidak,Konsultan ERP ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Switch Career",LinkedIn,Jakarta,1
336,Bekasi,Tidak,"Data Operation, Pandawa","Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
337,Palembang,Ya,Surveyor,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Switch Career",LinkedIn,Sumatera Selatan,0
338,Jakarta Barat,Ya,"Quality assurance engineer, TGPM Plant Indonesia ","Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
339,Pasuruan,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
340,Jakarta,Tidak,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
341,Jakarta Timur,Ya,Freelancer,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
342,Batam,Tidak,-,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Networking",LinkedIn,Riau,1
343,Bandung,Ya,belum bekerja (fresh graduate),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
