id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
449,Bandung,Tidak,Switching to Data Analyst,"Python, Databases, Tableau",Switch Career,LinkedIn,Jawa Barat,0
450,Bogor,Ya,Universitas Negeri Surabaya,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
451,Bandung,Tidak,Data Analyst,"SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
452,Bandung,Ya,Fresh Graduate,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Python","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Barat,1
453,DI Yogyakarta,Ya,Belum ada,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Belum ada mapping,1
454,Yogyakarta,Ya,pt gawe becik nadhah anugrah,"Power BI, Databases","Cari Kerja, Upskill, Networking",Teman,DI Yogyakarta,1
455,Cilacap,Ya,Belum bekerja,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
456,Karawang,Ya,Universitas Singaperbangsa Karawang,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
457,"salsafal, gang menukan II no.971, brontokusuman,mergangsan, yogyakarta",Tidak,karyawan swasta --> PT. Gawe Becik Nadhah Anugrah,"SQL, Python, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",Teman,Belum ada mapping,1
458,Bogor,Ya,Mahasiswa & IPB University,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
459,Jakarta ,Tidak,Data admin,"Excel, SQL, Python, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
460,Surabaya,Ya,Belum bekerja,Semua yg di atas ,"Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Timur,1
461,Jawa Tengah,Ya,Data Analyst,"SQL, Python, Power BI, Databases, Tableau, BigQuery, dbt, Airflow","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
462,Serang,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
463,Depok,Ya,Mahasiswa - UPNVJ,"Excel, SQL, Python, Databases","Upskill, Networking",LinkedIn,Jawa Barat,0
464,Surabaya,Ya,Konsultan Lingkungan/Instansi Swasta,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
465,Jakarta,Ya,UPN “ Veteran” Jawa Timur,"Excel, SQL, Python, Power BI, Looker Studio, Tableau",Switch Career,LinkedIn,Jakarta,0
466,Bogor,Ya,-,"Excel, Power BI, Databases","Cari Kerja, Upskill",Instagram,Jawa Barat,1
